identifier,name
6701802161,"Margo, Robert A."
6701807750,"Swinbank, Alan"
6701809842,"Harhoff, Dietmar"
6701819730,"Taber, Christopher R."
6701822305,"Veeman, Michele M."
6701823402,"Haltiwanger, John C."
6701861604,"Edmond, Chris"
6701886396,"Quah, Euston T.E."
6701886396,"Quah, Euston T.E."
6701914037,"Segerson, Kathleen"
6701922429,"Rausser, Gordon C."
7003263580,"Rodrik, Dani"
7003263580,"Rodrik, Dani"
7003263580,"Rodrik, Dani"
7003263580,"Rodrik, Dani"
7003300500,"Glied, Sherry A.M."
7003316709,"Kircher, Philipp A.T."
7003316730,"Liberman, Nira"
7003322788,"D'Aunno, Thomas A."
7003322815,"Nevo, Aviv"
7003394778,"Syme, Don"
7003429076,"Lally, Martin T."
7003433892,"Gorton, Gary B."
7003441111,"Manski, Charles F."
7003441111,"Manski, Charles F."
7003441993,"Philipson, Tomas J."
7003463747,"Hallin, Marc"
7003483273,"Acemoglu, Daron"
7003483273,"Acemoglu, Daron"
7003483530,"Besley, Timothy J."
7003501339,"Carlos, Ann M."
7003502097,"Van Ours, Jan C."
7003505417,"Krupnick, Alan J."
7003546468,"Hadfield, Gillian K."
7003563879,"Aumann, Robert John"
7003583590,"Eckel, Catherine C."
7003584662,"Burnside, A. Craig"
7003589517,"Smets, Frank Rafael"
7003606752,"Sorin, Sylvain"
7003617768,"Buchmueller, Thomas C."
7003622493,"Woolley, Frances R."
7003642985,"Wansink, Brian"
7003665741,"Fairlie, Robert W."
7003666422,"Crafts, Nicholas F.R."
7003688582,"Glaeser, Edward"
7003688582,"Glaeser, Edward"
7003706390,"van Kooten, G. Cornelis"
7003731682,"Canova, Fabio"
7003772787,"Dekel, Eddie"
7003772787,"Dekel, Eddie"
7003776584,"Ghysels, Eric"
7003812265,"Rogerson, Richard"
7003816660,"Kehoe, Timothy J."
7003817999,"Ariely, Dan"
7003830963,"Borjas, George J."
7003850547,"Harcourt, G. C."
7003880483,"Sindelar, Jody L."
7003896362,"Chander, Parkash"
7003911528,"Poterba, James M."
7003934170,"Boadway, Robin W."
7003943803,"Vercammen, James A."
7003944924,"Hellwig, Martin F."
7003960086,"Dwork, Cynthia"
7003964548,"Rochet, Jean Charles"
7004017860,"Angrist, Joshua D."
7004017860,"Angrist, Joshua D."
7004023875,"Pannell, David J."
7004050059,"Fortin, N. M."
7004061909,"Charles, Kerwin Kofi"
7004102101,"Figlio, David N."
7004110147,"Zingales, Luigi"
7004124897,"Doctor, Jason N."
7004144598,"Binswanger, Hans Peter"
7004150333,"Propper, Carol"
7004203407,"Aghion, Philippe"
7004203407,"Aghion, Philippe"
7004218524,"Plott, Charles R."
7004264968,"Pakes, Ariél"
7004269486,"Bastian, Christopher T."
7004284966,"Dolado, Juan J."
7004290544,"Coble, Keith H."
7004305461,"Koenker, Roger W."
7004308668,"Turnovsky, Stephen J."
7004354602,"Mossialos, Elias"
7004355543,"Zeckhauser, Richard J."
7004362607,"Fryer, Roland G."
7004389310,"Oxley, Deborah"
7004398300,"Cason, Timothy N."
7004410022,"Dustmann, Christian"
7004410022,"Dustmann, Christian"
7004428803,"Rolfe, John"
7004434295,"Spagnolo, Giancarlo"
7004491976,"Antle, John M."
7004492050,"Gali, Jordi"
7004496911,"Valletti, Tommaso M."
7004529142,"Cropper, Maureen L."
7004561684,"Gai, Prasanna S."
7004576935,"Nordhaus, William D."
7004587587,"Saez, Emmanuel"
7004587587,"Saez, Emmanuel"
7004612674,"Uhlig, Harald F."
7004612674,"Uhlig, Harald F."
7004612674,"Uhlig, Harald F."
7004620633,"Morton, Fiona Scott"
7004622558,"Larue, Bruno"
7004654239,"Devarajan, Shantayanan"
7004654239,"Devarajan, Shantayanan"
7004700402,"Creedy, John"
7004700402,"Creedy, John"
7004705151,"Meltzer, David O."
7004807076,"Winters, L. Alan"
7004860576,"Danzon, Patricia Munch"
7004878680,"Conconi, Paola"
7004879151,"Pande, Rohini P."
7004879151,"Pande, Rohini P."
7004879151,"Pande, Rohini P."
7004974686,"Reinhart, Carmen María"
7004974686,"Reinhart, Carmen María"
7004979366,"Ferrie, Joseph P."
7004986548,"Rust, John P."
7004986548,"Rust, John P."
7004997535,"Lusk, Jayson L."
7005063270,"Bardhan, Pranab"
7005067922,"Macleod, W. Bentley"
7005078406,"Kearns, Michael J."
7005161261,"Hyde, Charles E."
7005167371,"Kaufman, George G."
7005233386,"Eichengreen, Barry J."
7005277460,"Hurd, Michael D."
7005279117,"Maas, Harro"
7005319820,"Cooter, Robert D."
7005360792,"Patton, Andrew J."
